Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
77,Davide Biraschi,it,DF,Genoa,23,1994,23,"1,796",78,52.5,20.0,20,,3,,11,1.13,18,24,-6,-0.30,-0.08,22.4,22.4,-0.1,0.00,-0.08,/en/players/64cd167d/matchlogs/2017-2018/summary/Davide-Biraschi-Match-Logs
78,Valter Birsa,si,"MF,FW",Chievo,30,1986,35,"2,504",72,73.2,27.8,29,,6,,1,1.11,29,41,-12,-0.43,+0.65,25.8,36.4,-10.6,-0.38,+0.65,/en/players/455a2b79/matchlogs/2017-2018/summary/Valter-Birsa-Match-Logs
79,Albano Bizzarri,ar,GK,Udinese,39,1977,32,"2,880",90,84.2,32.0,32,,0,,5,1.16,41,52,-11,-0.34,+0.32,37.2,42.7,-5.6,-0.17,+0.32,/en/players/32b9b5fa/matchlogs/2017-2018/summary/Albano-Bizzarri-Match-Logs
80,Giacomo Boccafoglia,it,DF,SPAL,18,1998,0,,,,,0,,0,,1,,,,,,,,,,,,/en/players/dc783952/matchlogs/2017-2018/summary/Giacomo-Boccafoglia-Match-Logs
81,Paweł Bochniewicz,pl,DF,Udinese,21,1996,0,,,,,0,,0,,16,,,,,,,,,,,,/en/players/9bf068be/matchlogs/2017-2018/summary/Pawel-Bochniewicz-Match-Logs
82,Deian Boldor,ro,DF,Hellas Verona,22,1995,1,90,90,2.6,1.0,1,,0,,8,1.50,1,2,-1,-1.00,+0.27,0.3,3.0,-2.7,-2.69,+0.27,/en/players/9b7533de/matchlogs/2017-2018/summary/Deian-Boldor-Match-Logs
83,Thomas Bolis,it,MF,Atalanta,18,1998,0,,,,,0,,0,,2,,,,,,,,,,,,/en/players/4feea41c/matchlogs/2017-2018/summary/Thomas-Bolis-Match-Logs
84,Giacomo Bonaventura,it,MF,Milan,27,1989,33,"2,541",77,74.3,28.2,30,,3,,0,1.58,40,29,+11,+0.39,+0.08,38.5,28.7,+9.8,+0.35,+0.08,/en/players/d995ed27/matchlogs/2017-2018/summary/Giacomo-Bonaventura-Match-Logs
85,Federico Bonazzoli,it,FW,Sampdoria,20,1997,1,28,28,0.8,0.3,0,,1,,0,3.00,0,0,0,0.00,+0.11,0.6,0.5,+0.1,+0.17,+0.11,/en/players/bf57eaab/matchlogs/2017-2018/summary/Federico-Bonazzoli-Match-Logs
86,Federico Bonazzoli,it,FW,SPAL,20,1997,11,176,16,5.1,2.0,2,,9,,25,0.45,2,3,-1,-0.51,+0.02,1.9,3.4,-1.4,-0.76,+0.02,/en/players/bf57eaab/matchlogs/2017-2018/summary/Federico-Bonazzoli-Match-Logs
87,Kevin Bonifazi,it,"DF,FW",Torino,21,1996,6,408,68,11.9,4.5,4,,2,,20,1.83,13,6,+7,+1.54,+1.51,6.2,7.3,-1.0,-0.23,+1.51,/en/players/fb77bfef/matchlogs/2017-2018/summary/Kevin-Bonifazi-Match-Logs
88,Leonardo Bonucci,it,DF,Milan,30,1987,35,"3,085",88,90.2,34.3,35,,0,,0,1.71,52,39,+13,+0.38,+0.11,50.6,35.9,+14.7,+0.43,+0.11,/en/players/52ec54d0/matchlogs/2017-2018/summary/Leonardo-Bonucci-Match-Logs
89,Giuseppe Borello,it,MF,Crotone,18,1999,0,,,,,0,,0,,3,,,,,,,,,,,,/en/players/498df2a6/matchlogs/2017-2018/summary/Giuseppe-Borello-Match-Logs
90,Nicola Borghetto,it,GK,Hellas Verona,17,1999,0,,,,,0,,0,,1,,,,,,,,,,,,/en/players/e7a8551e/matchlogs/2017-2018/summary/Nicola-Borghetto-Match-Logs
91,Fabio Borini,it,"FW,DF",Milan,26,1991,29,"1,610",56,47.1,17.9,19,,10,,7,1.59,24,29,-5,-0.28,-1.22,22.6,21.2,+1.4,+0.08,-1.22,/en/players/ef5b337e/matchlogs/2017-2018/summary/Fabio-Borini-Match-Logs
92,Marco Borriello,it,FW,SPAL,35,1982,15,773,52,22.6,8.6,9,,6,,2,0.73,8,15,-7,-0.82,-0.37,8.6,12.8,-4.2,-0.49,-0.37,/en/players/a889ffc7/matchlogs/2017-2018/summary/Marco-Borriello-Match-Logs
93,Davide Borsellini,it,GK,Udinese,18,1999,0,,,,,0,,0,,32,,,,,,,,,,,,/en/players/21b6d3e9/matchlogs/2017-2018/summary/Davide-Borsellini-Match-Logs
94,Devid Bouah,it,DF,Roma,15,2001,0,,,,,0,,0,,1,,,,,,,,,,,,/en/players/8c257a54/matchlogs/2017-2018/summary/Devid-Bouah-Match-Logs
95,Lucas Boyé,ar,"FW,MF",Torino,21,1996,11,155,14,4.5,1.7,0,,11,,8,1.18,2,3,-1,-0.58,-0.83,2.1,4.1,-2.0,-1.28,-0.83,/en/players/d49f3e6b/matchlogs/2017-2018/summary/Lucas-Boye-Match-Logs
96,Federico Brancolini,it,GK,Fiorentina,16,2001,0,,,,,0,,0,,2,,,,,,,,,,,,/en/players/d4890c25/matchlogs/2017-2018/summary/Federico-Brancolini-Match-Logs
97,Fabrizio Brignani,it,DF,Bologna,19,1998,0,,,,,0,,0,,8,,,,,,,,,,,,/en/players/4a6667d7/matchlogs/2017-2018/summary/Fabrizio-Brignani-Match-Logs
98,Enrico Brignola,it,"FW,MF",Benevento,18,1999,18,"1,347",75,39.4,15.0,16,,2,,9,1.17,22,26,-4,-0.27,+1.77,18.7,22.8,-4.0,-0.27,+1.77,/en/players/d0643f8f/matchlogs/2017-2018/summary/Enrico-Brignola-Match-Logs
99,Alberto Brignoli,it,GK,Benevento,25,1991,13,"1,126",87,32.9,12.5,11,,2,,25,0.38,14,31,-17,-1.36,-0.02,13.4,25.6,-12.3,-0.98,-0.02,/en/players/6989550f/matchlogs/2017-2018/summary/Alberto-Brignoli-Match-Logs
