Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
103,Leonardo Capezzi,it,MF,Sampdoria,22,1995,2.4,0,0,0,5,0,0,16,2,6,0,0,0,29,0,0,,/en/players/07ea0ef2/matchlogs/2017-2018/misc/Leonardo-Capezzi-Match-Logs
104,Elio Capradossi,it,DF,Roma,21,1996,0.9,0,0,0,1,0,0,0,2,1,0,0,0,15,4,3,57.1,/en/players/174944a3/matchlogs/2017-2018/misc/Elio-Capradossi-Match-Logs
105,Gianluca Caprari,it,"FW,MF",Sampdoria,24,1993,20.1,5,2,1,20,40,5,59,8,13,0,1,0,104,6,31,16.2,/en/players/54e53b7e/matchlogs/2017-2018/misc/Gianluca-Caprari-Match-Logs
106,Marco Capuano,it,DF,Crotone,25,1991,15.6,4,2,1,16,7,0,1,29,11,0,0,0,188,33,22,60.0,/en/players/616aea37/matchlogs/2017-2018/misc/Marco-Capuano-Match-Logs
107,Marco Capuano,it,DF,Cagliari,25,1991,7.7,2,0,0,8,2,0,9,7,11,0,0,0,69,14,11,56.0,/en/players/616aea37/matchlogs/2017-2018/misc/Marco-Capuano-Match-Logs
108,Antonio Caracciolo,it,DF,Hellas Verona,27,1990,31.7,6,0,0,51,4,2,7,47,32,0,2,0,237,46,31,59.7,/en/players/99d8fc35/matchlogs/2017-2018/misc/Antonio-Caracciolo-Match-Logs
109,Francesco Cassata,it,MF,Sassuolo,20,1997,5.1,3,1,0,15,11,0,13,5,7,0,0,0,36,4,5,44.4,/en/players/96960855/matchlogs/2017-2018/misc/Francesco-Cassata-Match-Logs
110,Timothy Castagne,be,"DF,MF",Atalanta,21,1995,16.7,4,0,0,21,16,0,33,22,32,0,0,0,162,17,29,37.0,/en/players/197640fd/matchlogs/2017-2018/misc/Timothy-Castagne-Match-Logs
111,Leandro Castán,br,DF,Cagliari,30,1986,12.7,5,0,0,16,13,0,2,22,14,0,1,0,121,14,10,58.3,/en/players/019f4d0d/matchlogs/2017-2018/misc/Leandro-Castan-Match-Logs
112,Lucas Castro,ar,MF,Chievo,28,1989,22.1,3,0,0,37,39,2,57,41,36,0,0,0,246,28,35,44.4,/en/players/56b2957b/matchlogs/2017-2018/misc/Lucas-Castro-Match-Logs
113,Danilo Cataldi,it,MF,Benevento,22,1994,25.4,10,2,1,37,27,0,62,42,29,0,0,0,270,5,9,35.7,/en/players/ba3d3bea/matchlogs/2017-2018/misc/Danilo-Cataldi-Match-Logs
114,Federico Ceccherini,it,DF,Crotone,25,1992,35.9,4,1,0,40,37,5,5,90,23,0,2,0,394,75,49,60.5,/en/players/d9624b51/matchlogs/2017-2018/misc/Federico-Ceccherini-Match-Logs
115,Ricardo Centurión,ar,"MF,FW",Genoa,24,1993,0.6,0,0,0,1,0,1,1,0,0,0,0,0,8,0,0,,/en/players/fac896b0/matchlogs/2017-2018/misc/Ricardo-Centurion-Match-Logs
116,Luca Ceppitelli,it,DF,Cagliari,27,1989,24.7,7,0,0,31,18,0,1,50,34,0,2,1,328,87,29,75.0,/en/players/7d50454d/matchlogs/2017-2018/misc/Luca-Ceppitelli-Match-Logs
117,Fabio Ceravolo,it,FW,Benevento,30,1987,0.6,0,0,0,1,1,2,0,0,0,0,0,0,2,1,0,100.0,/en/players/4cc93246/matchlogs/2017-2018/misc/Fabio-Ceravolo-Match-Logs
118,Alessio Cerci,it,"FW,MF",Hellas Verona,30,1987,18.2,1,0,0,20,25,26,65,5,8,2,0,0,72,17,41,29.3,/en/players/5370cba7/matchlogs/2017-2018/misc/Alessio-Cerci-Match-Logs
119,Boštjan Cesar,si,DF,Chievo,35,1982,6.1,1,0,0,5,8,0,0,4,4,0,0,2,67,13,13,50.0,/en/players/c1d18f10/matchlogs/2017-2018/misc/Bostjan-Cesar-Match-Logs
120,Damir Ceter,co,"FW,MF",Cagliari,19,1997,2.2,0,0,0,3,4,1,2,1,1,0,0,0,11,12,12,50.0,/en/players/eade5337/matchlogs/2017-2018/misc/Damir-Ceter-Match-Logs
121,Raman Chibsah,gh,MF,Benevento,24,1993,11.6,4,0,0,21,10,0,3,10,16,0,1,0,86,6,15,28.6,/en/players/aa5a409a/matchlogs/2017-2018/misc/Raman-Chibsah-Match-Logs
122,Giorgio Chiellini,it,DF,Juventus,32,1984,24.0,2,0,0,28,27,1,8,49,15,0,0,0,299,45,27,62.5,/en/players/e85fb9b8/matchlogs/2017-2018/misc/Giorgio-Chiellini-Match-Logs
