Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
492,Kevin Strootman,nl,MF,Roma,27,1990,25.1,1,23,7,30.4,0.92,0.28,0.04,0.14,0,0,0,2.9,2.9,0.13,-1.9,-1.9,/en/players/ef2e5e1a/matchlogs/2017-2018/summary/Kevin-Strootman-Match-Logs
493,Jens Stryger Larsen,dk,DF,Udinese,26,1991,28.1,1,17,5,29.4,0.60,0.18,0.06,0.20,1,0,0,1.4,1.4,0.08,-0.4,-0.4,/en/players/f91e81c9/matchlogs/2017-2018/summary/Jens-Stryger-Larsen-Match-Logs
494,Stefano Sturaro,it,"MF,DF",Juventus,24,1993,6.8,0,5,1,20.0,0.73,0.15,0.00,0.00,0,0,0,0.2,0.2,0.04,-0.2,-0.2,/en/players/2334478a/matchlogs/2017-2018/summary/Stefano-Sturaro-Match-Logs
495,Suso,es,FW,Milan,23,1993,31.4,6,98,39,39.8,3.12,1.24,0.06,0.15,12,0,0,3.8,3.8,0.04,+2.2,+2.2,/en/players/4e219ad2/matchlogs/2017-2018/summary/Suso-Match-Logs
496,Wojciech Szczęsny,pl,GK,Juventus,27,1990,17.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/01b8a2b2/matchlogs/2017-2018/summary/Wojciech-Szczesny-Match-Logs
497,Adel Taarabt,ma,"FW,MF",Genoa,28,1989,17.9,2,32,11,34.4,1.78,0.61,0.06,0.18,0,0,0,1.4,1.4,0.04,+0.6,+0.6,/en/players/47dc80f5/matchlogs/2017-2018/summary/Adel-Taarabt-Match-Logs
498,Saphir Taïder,dz,MF,Bologna,25,1992,4.3,0,4,1,25.0,0.94,0.23,0.00,0.00,0,0,0,0.2,0.2,0.05,-0.2,-0.2,/en/players/a12d0c05/matchlogs/2017-2018/summary/Saphir-Taider-Match-Logs
499,Cyril Théréau,fr,"FW,MF",Fiorentina,34,1983,12.4,5,28,9,32.1,2.27,0.73,0.07,0.22,0,3,3,5.6,3.3,0.12,-0.6,-1.3,/en/players/4d3ab428/matchlogs/2017-2018/summary/Cyril-Thereau-Match-Logs
500,Cyril Théréau,fr,FW,Udinese,34,1983,2.0,2,3,1,33.3,1.50,0.50,0.33,1.00,1,1,1,1.0,0.3,0.09,+1.0,+0.7,/en/players/4d3ab428/matchlogs/2017-2018/summary/Cyril-Thereau-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,
501,Rafael Tolói,br,DF,Atalanta,26,1990,27.2,1,21,5,23.8,0.77,0.18,0.05,0.20,0,0,0,1.8,1.8,0.09,-0.8,-0.8,/en/players/c56dc39e/matchlogs/2017-2018/summary/Rafael-Toloi-Match-Logs
502,Nenad Tomović,rs,DF,Fiorentina,29,1987,1.5,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/6aafdc27/matchlogs/2017-2018/summary/Nenad-Tomovic-Match-Logs
