player,nation,position,squad,age,born,matches_played,startsminutes,goals,assists,penalties,penalties_scored,yellow_cards,red_cards,goals_per_90,assists_per_90,goals_and_assists_per_90,goals_minus_pens_per_90,goals_plus_assists_minus_pens_per_90,xG,npxG,xA,xG90,xA90,xG_plus_xA_90,npxG90,npxG_plus_xA90
Simone Edera,it,"MF,FW",Torino,22,1997,13,,1,1,0,0,4,1,0.23,0.23,0.45,0.23,0.45,0.9,0.9,0.4,0.21,0.09,0.30,0.21,0.30
Albin Ekdal,se,MF,Sampdoria,30,1989,32,,0,2,0,0,8,0,0.00,0.08,0.08,0.00,0.08,1.6,1.6,1.0,0.06,0.04,0.10,0.06,0.10
Elif Elmas,mk,MF,Napoli,19,1999,26,,1,1,0,0,7,0,0.08,0.08,0.16,0.08,0.16,1.9,1.9,0.9,0.15,0.07,0.21,0.15,0.21
Alan Empereur,br,DF,Hellas Verona,25,1994,13,,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.01,0.00,0.01
Christian Eriksen,dk,MF,Inter,27,1992,17,,1,2,0,0,0,0,0.13,0.26,0.38,0.13,0.38,2.5,2.5,3.1,0.32,0.40,0.71,0.32,0.71
Espeto,br,"DF,MF",SPAL,22,1997,32,,1,2,0,0,9,1,0.04,0.09,0.13,0.04,0.13,2.4,2.4,1.2,0.10,0.05,0.15,0.10,0.15
Sebastiano Esposito,it,FW,Inter,17,2002,7,,1,0,1,1,2,0,0.45,0.00,0.45,0.00,0.00,1.7,1.0,0.1,0.78,0.05,0.84,0.44,0.49
Valentin Eysseric,fr,MF,Fiorentina,27,1992,3,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.18,0.00,0.18,0.18,0.18
Valentin Eysseric,fr,"MF,FW",Hellas Verona,27,1992,6,,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,0.13,0.19,0.32,0.13,0.32
Luca Falbo,it,DF,Lazio,19,2000,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Filippo Falco,it,"FW,MF",Lecce,27,1992,30,,4,6,0,0,0,0,0.18,0.27,0.45,0.18,0.45,3.1,3.1,4.3,0.14,0.19,0.33,0.14,0.33
Wladimiro Falcone,it,GK,Sampdoria,24,1995,2,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Iago Falque,es,"MF,FW",Torino,29,1990,4,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.15,0.10,0.26,0.15,0.26
Iago Falque,es,MF,Genoa,29,1990,10,,2,1,2,3,0,0,0.35,0.17,0.52,0.00,0.17,3.0,0.7,0.9,0.52,0.16,0.67,0.13,0.29
Andri Fannar Baldursson,is,MF,Bologna,17,2002,7,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.05,0.07,0.12,0.05,0.12
Paolo Faragò,it,DF,Cagliari,26,1993,21,,1,1,0,0,3,0,0.07,0.07,0.13,0.07,0.13,1.5,1.5,0.7,0.10,0.05,0.15,0.10,0.15
Davide Faraoni,it,DF,Hellas Verona,27,1991,36,,5,3,0,0,6,0,0.14,0.08,0.22,0.14,0.22,4.4,4.4,2.3,0.12,0.06,0.18,0.12,0.18
Mohamed Fares,dz,"DF,MF",SPAL,23,1996,8,,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.02,0.14,0.16,0.02,0.16
Diego Farias,br,"FW,MF",Lecce,29,1990,18,,2,0,0,0,3,1,0.22,0.00,0.22,0.22,0.22,1.7,1.7,1.7,0.19,0.19,0.37,0.19,0.37
Andrea Favilli,it,FW,Genoa,22,1997,20,,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.6,1.6,0.8,0.21,0.10,0.32,0.21,0.32
Federico Fazio,ar,DF,Roma,32,1987,16,,1,0,0,0,2,1,0.07,0.00,0.07,0.07,0.07,0.3,0.3,0.4,0.02,0.03,0.05,0.02,0.05
Luiz Felipe,br,DF,Lazio,22,1997,26,,1,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09,0.5,0.5,0.3,0.02,0.02,0.04,0.02,0.04
Lucas Felippe,br,"MF,DF",Hellas Verona,19,2000,2,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.13,0.00,0.13,0.13,0.13
Alex Ferrari,it,DF,Sampdoria,25,1994,12,,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.03,0.00,0.03,0.03,0.03
Sergio Floccari,it,FW,SPAL,37,1981,24,,1,0,0,0,3,0,0.10,0.00,0.10,0.10,0.10,1.1,1.1,0.9,0.11,0.08,0.19,0.11,0.19
Alessandro Florenzi,it,"DF,FW",Roma,28,1991,14,,0,1,0,0,5,0,0.00,0.09,0.09,0.00,0.09,0.6,0.6,2.0,0.05,0.18,0.23,0.05,0.23
Seko Fofana,ci,MF,Udinese,24,1995,32,,3,7,0,0,4,0,0.12,0.28,0.40,0.12,0.40,2.7,2.7,4.4,0.11,0.18,0.28,0.11,0.28
Gianluca Frabotta,it,DF,Juventus,20,1999,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04
Remo Freuler,ch,MF,Atalanta,27,1992,31,,2,2,0,0,3,0,0.08,0.08,0.15,0.08,0.15,1.9,1.9,2.6,0.07,0.10,0.18,0.07,0.18
Daniel Fuzato,br,GK,Roma,22,1997,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Matteo Gabbia,it,DF,Milan,19,1999,9,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.02,0.00,0.02,0.02,0.02
Manolo Gabbiadini,it,FW,Sampdoria,27,1991,33,,11,1,1,1,2,0,0.49,0.04,0.53,0.44,0.49,8.0,7.3,2.8,0.35,0.12,0.48,0.32,0.45
Gabriel,br,GK,Lecce,26,1992,34,,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Luca Gagliano,it,FW,Cagliari,19,2000,2,,1,1,0,0,0,0,1.73,1.73,3.46,1.73,3.46,0.4,0.4,0.0,0.62,0.06,0.68,0.62,0.68
Roberto Gagliardini,it,MF,Inter,25,1994,24,,4,2,0,0,5,0,0.20,0.10,0.30,0.20,0.30,4.7,4.4,1.2,0.24,0.06,0.30,0.22,0.28
Riccardo Gagliolo,se,DF,Parma,29,1990,32,,3,2,0,0,7,0,0.10,0.07,0.17,0.10,0.17,2.6,2.6,2.3,0.09,0.08,0.17,0.09,0.17
Daniele Gastaldello,it,DF,Brescia,36,1983,8,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01
Gervinho,ci,FW,Parma,32,1987,31,,7,4,0,1,3,0,0.28,0.16,0.44,0.28,0.44,8.9,8.1,2.3,0.35,0.09,0.44,0.32,0.41
Rachid Ghezzal,dz,"MF,FW",Fiorentina,27,1992,19,,1,0,0,0,5,0,0.11,0.00,0.11,0.11,0.11,0.6,0.6,1.6,0.06,0.17,0.23,0.06,0.23
Andrea Ghezzi,it,"MF,FW",Brescia,,,5,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.37,0.00,0.37,0.37,0.37
Paolo Ghiglione,it,DF,Genoa,22,1997,25,,0,5,0,0,4,0,0.00,0.26,0.26,0.00,0.26,1.0,1.0,2.0,0.05,0.11,0.16,0.05,0.16
Andrea Ghion,it,"MF,FW",Sassuolo,19,2000,3,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.11,0.17,0.28,0.11,0.28
Faouzi Ghoulam,dz,DF,Napoli,28,1991,9,,0,1,0,0,2,0,0.00,0.24,0.24,0.00,0.24,0.2,0.2,1.0,0.04,0.24,0.27,0.04,0.27
Diego Godín,uy,DF,Inter,33,1986,23,,1,1,0,0,5,0,0.06,0.06,0.11,0.06,0.11,0.9,0.9,0.9,0.05,0.05,0.10,0.05,0.10
Edoardo Goldaniga,it,DF,Genoa,25,1993,13,,1,0,0,0,4,0,0.11,0.00,0.11,0.11,0.11,1.1,1.1,0.2,0.12,0.02,0.15,0.12,0.15
Pierluigi Gollini,it,GK,Atalanta,24,1995,33,,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Papu Gómez,ar,"MF,FW",Atalanta,31,1988,36,,7,16,0,0,2,0,0.22,0.51,0.73,0.22,0.73,8.7,8.7,10.3,0.27,0.33,0.60,0.27,0.60
Robin Gosens,de,DF,Atalanta,25,1994,34,,9,7,0,0,3,0,0.31,0.24,0.55,0.31,0.55,5.8,5.8,3.4,0.20,0.12,0.32,0.20,0.32
Alberto Grassi,it,MF,Parma,24,1995,16,,1,1,0,0,6,0,0.14,0.14,0.28,0.14,0.28,0.4,0.4,0.2,0.06,0.03,0.08,0.06,0.08
Sinan Gümüş,tr,FW,Genoa,25,1994,3,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.20,0.00,0.20,0.20,0.20
Koray Günter,de,DF,Hellas Verona,24,1994,32,,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.02,0.01,0.02,0.02,0.02
Samir Handanović,si,GK,Inter,35,1984,35,,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.00,0.01,0.01,0.00,0.01
Lukáš Haraslín,sk,FW,Sassuolo,23,1996,11,,1,0,0,0,1,0,0.23,0.00,0.23,0.23,0.23,0.9,0.9,0.4,0.21,0.10,0.31,0.21,0.31
Hans Hateboer,nl,DF,Atalanta,25,1994,32,,0,4,0,0,10,0,0.00,0.15,0.15,0.00,0.15,1.6,1.6,3.6,0.06,0.14,0.20,0.06,0.20
Liam Henderson,sco,MF,Hellas Verona,23,1996,4,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.02,0.12,0.14,0.02,0.14
Dalbert Henrique,br,DF,Fiorentina,25,1993,31,,0,5,0,0,8,1,0.00,0.18,0.18,0.00,0.18,0.6,0.6,3.7,0.02,0.13,0.16,0.02,0.16
Theo Hernández,fr,DF,Milan,21,1997,33,,6,3,0,0,10,0,0.19,0.10,0.29,0.19,0.29,4.3,4.3,4.8,0.14,0.15,0.29,0.14,0.29
Hernani,br,MF,Parma,25,1994,32,,0,4,0,0,10,0,0.00,0.15,0.15,0.00,0.15,1.2,1.2,1.8,0.05,0.07,0.11,0.05,0.11
Gonzalo Higuaín,ar,FW,Juventus,31,1987,32,,8,4,0,0,2,0,0.39,0.19,0.58,0.39,0.58,9.5,9.5,4.3,0.46,0.21,0.66,0.46,0.66
Krisztofer Horváth,hu,"FW,DF",SPAL,17,2002,3,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.03,0.05,0.09,0.03,0.09
Elseid Hysaj,al,DF,Napoli,25,1994,20,,1,2,0,0,3,0,0.06,0.12,0.18,0.06,0.18,0.3,0.3,1.4,0.02,0.08,0.10,0.02,0.10
Simone Iacoponi,it,DF,Parma,32,1987,36,,2,0,0,0,7,0,0.06,0.00,0.06,0.06,0.06,0.9,0.9,0.3,0.03,0.01,0.03,0.03,0.03
Roger Ibanez,br,DF,Roma,20,1998,9,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.04,0.01,0.05,0.04,0.05
Zlatan Ibrahimović,se,FW,Milan,37,1981,18,,10,5,2,3,1,0,0.66,0.33,0.99,0.53,0.86,9.9,7.7,3.4,0.65,0.23,0.88,0.51,0.73
Igor,br,DF,Fiorentina,21,1998,9,,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01
Igor,br,DF,SPAL,21,1998,17,,0,1,0,0,7,0,0.00,0.07,0.07,0.00,0.07,0.1,0.1,0.9,0.01,0.06,0.07,0.01,0.07
Josip Iličić,si,FW,Atalanta,31,1988,26,,15,5,0,0,1,1,0.81,0.27,1.08,0.81,1.08,9.2,9.2,6.8,0.50,0.37,0.87,0.50,0.87
Giannelli Imbula,cd,MF,Lecce,26,1992,3,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ciro Immobile,it,FW,Lazio,29,1990,37,,36,9,14,15,8,0,1.02,0.26,1.28,0.62,0.88,26.9,15.4,6.5,0.76,0.19,0.95,0.44,0.62
Roberto Inglese,it,FW,Parma,27,1991,17,,4,0,0,1,1,0,0.47,0.00,0.47,0.47,0.47,4.3,3.6,0.3,0.51,0.03,0.54,0.42,0.45
Lorenzo Insigne,it,"FW,MF",Napoli,28,1991,37,,8,6,5,5,1,0,0.26,0.19,0.45,0.10,0.29,12.9,9.1,7.1,0.41,0.23,0.64,0.29,0.52
Artur Ioniță,md,MF,Cagliari,28,1990,34,,0,2,0,0,6,0,0.00,0.09,0.09,0.00,0.09,0.9,0.9,0.7,0.04,0.03,0.08,0.04,0.08
Jakub Iskra,pl,DF,SPAL,16,2002,2,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03
Armando Izzo,it,DF,Torino,27,1992,31,,1,0,0,0,7,2,0.03,0.00,0.03,0.03,0.03,1.3,1.3,1.0,0.04,0.03,0.08,0.04,0.08
Filip Jagiełło,pl,MF,Genoa,21,1997,11,,0,2,0,0,0,0,0.00,0.33,0.33,0.00,0.33,0.3,0.3,0.8,0.04,0.14,0.18,0.04,0.18
Mato Jajalo,ba,MF,Udinese,31,1988,26,,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.6,0.02,0.04,0.05,0.02,0.05
Marko Janković,me,"MF,DF",SPAL,24,1995,6,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.07,0.20,0.27,0.07,0.27
Jakub Jankto,cz,MF,Sampdoria,23,1996,30,,2,4,0,0,8,0,0.09,0.17,0.26,0.09,0.26,2.8,2.8,4.6,0.12,0.20,0.32,0.12,0.32
Juan Jesus,br,DF,Roma,28,1991,4,,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Jony,es,DF,Lazio,28,1991,24,,0,1,0,0,4,0,0.00,0.08,0.08,0.00,0.08,0.4,0.4,1.1,0.03,0.09,0.12,0.03,0.12
Jesse Joronen,fi,GK,Brescia,26,1993,29,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00
Hamed Junior Traorè,ci,"MF,FW",Sassuolo,19,2000,31,,4,1,0,0,3,0,0.23,0.06,0.29,0.23,0.29,4.8,4.8,2.2,0.27,0.13,0.40,0.27,0.40
Musa Juwara,gm,"FW,MF",Bologna,17,2001,7,,1,0,0,0,1,0,0.59,0.00,0.59,0.59,0.59,0.2,0.2,0.1,0.14,0.08,0.22,0.14,0.22
Nikola Kalinić,hr,FW,Roma,31,1988,15,,5,1,0,0,1,0,0.79,0.16,0.95,0.79,0.95,4.6,4.6,1.0,0.73,0.16,0.89,0.73,0.89
Yann Karamoh,fr,"FW,MF",Parma,21,1998,14,,1,1,0,0,0,0,0.16,0.16,0.31,0.16,0.31,0.6,0.6,0.9,0.10,0.14,0.23,0.10,0.23
Franck Kessié,ci,MF,Milan,22,1996,35,,4,1,2,2,3,0,0.12,0.03,0.15,0.06,0.09,4.1,2.6,2.4,0.13,0.08,0.20,0.08,0.16
Sami Khedira,de,MF,Juventus,32,1987,12,,0,1,0,0,3,0,0.00,0.13,0.13,0.00,0.13,1.1,1.1,0.5,0.15,0.07,0.22,0.15,0.22
Giorgos Kiriakopoulos,gr,DF,Sassuolo,23,1996,26,,0,1,0,0,4,0,0.00,0.05,0.05,0.00,0.05,0.7,0.7,0.5,0.04,0.03,0.07,0.04,0.07
Simon Kjær,dk,DF,Atalanta,30,1989,5,,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.02,0.00,0.02,0.02,0.02
Simon Kjær,dk,DF,Milan,30,1989,15,,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.03,0.00,0.03,0.03,0.03
Ragnar Klavan,ee,DF,Cagliari,33,1985,31,,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.6,0.02,0.02,0.04,0.02,0.04
Justin Kluivert,nl,FW,Roma,20,1999,22,,4,1,0,0,6,1,0.24,0.06,0.30,0.24,0.30,2.9,2.9,1.1,0.17,0.07,0.24,0.17,0.24
Aleksandar Kolarov,rs,DF,Roma,33,1985,32,,7,3,2,4,6,0,0.23,0.10,0.33,0.16,0.26,6.9,3.9,4.9,0.23,0.16,0.39,0.13,0.29
Christian Kouamé,ci,FW,Genoa,21,1997,11,,5,2,0,0,1,0,0.49,0.20,0.69,0.49,0.69,1.7,1.7,1.0,0.17,0.10,0.27,0.17,0.27
Christian Kouamé,ci,FW,Fiorentina,21,1997,7,,1,1,0,0,0,0,0.30,0.30,0.60,0.30,0.60,1.5,1.5,0.2,0.46,0.07,0.53,0.46,0.53
Kalidou Koulibaly,sn,DF,Napoli,28,1991,25,,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.5,0.04,0.02,0.06,0.04,0.06
Ladislav Krejčí,cz,DF,Bologna,27,1992,14,,1,0,0,0,1,0,0.09,0.00,0.09,0.09,0.09,0.3,0.3,0.5,0.03,0.04,0.07,0.03,0.07
Rade Krunić,ba,MF,Milan,25,1993,15,,0,1,0,0,3,0,0.00,0.17,0.17,0.00,0.17,0.4,0.4,1.0,0.07,0.17,0.24,0.07,0.24
Juraj Kucka,sk,"MF,FW",Parma,32,1987,26,,6,3,2,2,5,1,0.28,0.14,0.42,0.19,0.33,4.6,3.1,1.9,0.22,0.09,0.30,0.15,0.23
Dejan Kulusevski,se,"FW,MF",Parma,19,2000,36,,10,8,1,1,3,0,0.31,0.25,0.55,0.28,0.52,6.7,6.0,9.0,0.21,0.28,0.48,0.18,0.46
Marash Kumbulla,al,DF,Hellas Verona,19,2000,25,,1,0,0,0,7,1,0.05,0.00,0.05,0.05,0.05,1.6,1.6,0.1,0.08,0.00,0.08,0.08,0.08
Jasmin Kurtić,si,MF,SPAL,30,1989,16,,2,0,0,0,5,0,0.13,0.00,0.13,0.13,0.13,2.4,2.4,2.1,0.15,0.13,0.28,0.15,0.28
Jasmin Kurtić,si,"MF,FW",Parma,30,1989,20,,2,1,0,0,5,0,0.11,0.05,0.16,0.11,0.16,0.8,0.8,1.7,0.05,0.09,0.14,0.05,0.14
Antonino La Gumina,it,FW,Sampdoria,23,1996,5,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.14,0.08,0.22,0.14,0.22
Andrea La Mantia,it,FW,Lecce,28,1991,12,,2,0,0,0,1,0,0.33,0.00,0.33,0.33,0.33,3.5,3.5,0.2,0.57,0.03,0.60,0.57,0.60
Riccardo Ladinetti,it,MF,Cagliari,18,2000,3,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.08,0.08,0.00,0.08
Gianluca Lapadula,it,FW,Lecce,29,1990,25,,11,0,2,2,8,1,0.55,0.00,0.55,0.45,0.45,10.6,9.1,2.1,0.53,0.11,0.64,0.46,0.56
Danilo Larangeira,br,DF,Bologna,35,1984,30,,2,0,0,0,11,1,0.07,0.00,0.07,0.07,0.07,0.7,0.7,0.2,0.02,0.01,0.03,0.02,0.03
Kevin Lasagna,it,FW,Udinese,26,1992,36,,10,1,0,0,1,0,0.35,0.04,0.39,0.35,0.39,9.6,9.6,2.4,0.34,0.08,0.42,0.34,0.42
Vincent Laurini,fr,DF,Parma,30,1989,15,,0,2,0,0,4,0,0.00,0.20,0.20,0.00,0.20,0.0,0.0,1.1,0.00,0.11,0.11,0.00,0.11
Diego Laxalt,uy,"DF,MF",Torino,26,1993,16,,0,1,0,0,3,0,0.00,0.15,0.15,0.00,0.15,0.2,0.2,0.5,0.03,0.07,0.10,0.03,0.10
Diego Laxalt,uy,DF,Milan,26,1993,4,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.01,0.07,0.08,0.01,0.08
Valentino Lazaro,at,"DF,MF",Inter,23,1996,6,,0,1,0,0,2,0,0.00,0.28,0.28,0.00,0.28,0.1,0.1,1.2,0.03,0.35,0.38,0.03,0.38
Darko Lazović,rs,DF,Hellas Verona,28,1990,38,,3,7,0,0,4,0,0.08,0.19,0.28,0.08,0.28,2.4,2.3,8.1,0.07,0.22,0.29,0.06,0.29
Manuel Lazzari,it,DF,Lazio,25,1993,32,,0,3,0,0,6,0,0.00,0.11,0.11,0.00,0.11,1.4,1.4,3.5,0.05,0.12,0.17,0.05,0.17
Rafael Leão,pt,FW,Milan,20,1999,31,,6,1,0,0,0,0,0.38,0.06,0.45,0.38,0.45,4.9,4.9,3.0,0.31,0.19,0.51,0.31,0.51
Lucas Leiva,br,MF,Lazio,32,1987,25,,0,1,0,0,10,1,0.00,0.05,0.05,0.00,0.05,0.6,0.6,1.9,0.03,0.10,0.13,0.03,0.13
Lukas Lerager,dk,MF,Genoa,26,1993,21,,1,1,0,0,5,0,0.06,0.06,0.13,0.06,0.13,1.3,1.3,1.6,0.08,0.10,0.19,0.08,0.19
Mehdi Léris,fr,"MF,FW",Sampdoria,21,1998,15,,1,1,0,0,0,0,0.18,0.18,0.35,0.18,0.35,0.8,0.6,0.5,0.14,0.08,0.22,0.10,0.18
Karlo Letica,hr,GK,SPAL,22,1997,10,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Matthijs de Ligt,nl,DF,Juventus,19,1999,29,,4,0,0,0,5,0,0.15,0.00,0.15,0.15,0.15,2.6,2.6,0.3,0.10,0.01,0.11,0.10,0.11
Anderson Lima,br,MF,Lazio,19,1999,6,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.21,0.40,0.61,0.21,0.61
Karol Linetty,pl,MF,Sampdoria,24,1995,28,,4,3,0,0,4,0,0.18,0.13,0.31,0.18,0.31,1.7,1.7,2.1,0.08,0.09,0.17,0.08,0.17
Pol Lirola,es,DF,Fiorentina,21,1997,35,,0,2,0,0,4,0,0.00,0.07,0.07,0.00,0.07,1.5,1.5,2.8,0.05,0.09,0.14,0.05,0.14
Fernando Llorente,es,FW,Napoli,34,1985,17,,3,1,0,0,1,0,0.54,0.18,0.72,0.54,0.72,4.7,4.7,0.7,0.84,0.12,0.96,0.84,0.96
Stanislav Lobotka,sk,MF,Napoli,24,1994,14,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.01,0.02,0.04,0.01,0.04
Manuel Locatelli,it,MF,Sassuolo,21,1998,33,,0,5,0,0,9,0,0.00,0.17,0.17,0.00,0.17,1.7,1.7,4.3,0.06,0.15,0.21,0.06,0.21
Pau López,es,GK,Roma,24,1994,32,,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Matteo Lovato,it,DF,Hellas Verona,19,2000,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Hirving Lozano,mx,FW,Napoli,24,1995,26,,4,1,0,0,3,0,0.35,0.09,0.44,0.35,0.44,4.1,4.1,2.1,0.36,0.19,0.55,0.36,0.55
Fabio Lucioni,it,DF,Lecce,31,1987,36,,3,0,0,0,8,1,0.09,0.00,0.09,0.09,0.09,1.7,1.7,0.0,0.05,0.00,0.05,0.05,0.05
José Luis Palomino,ar,DF,Atalanta,29,1990,30,,2,1,0,0,5,0,0.07,0.04,0.11,0.07,0.11,2.5,2.5,1.2,0.09,0.04,0.13,0.09,0.13
Jordan Lukaku,be,DF,Lazio,25,1994,13,,0,2,0,0,2,0,0.00,0.45,0.45,0.00,0.45,0.1,0.1,0.8,0.02,0.18,0.20,0.02,0.20
Romelu Lukaku,be,FW,Inter,26,1993,36,,23,2,6,6,2,0,0.69,0.06,0.76,0.51,0.57,20.2,15.7,5.2,0.61,0.16,0.77,0.47,0.63
Saša Lukić,rs,MF,Torino,22,1996,30,,1,1,0,0,5,1,0.05,0.05,0.10,0.05,0.10,0.9,0.9,0.6,0.04,0.03,0.07,0.04,0.07
Senad Lulić,ba,DF,Lazio,33,1986,20,,0,2,0,0,6,0,0.00,0.11,0.11,0.00,0.11,1.1,1.1,2.4,0.06,0.14,0.20,0.06,0.20
Sebastiano Luperto,it,DF,Napoli,22,1996,9,,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01
Lyanco,br,DF,Torino,22,1997,17,,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.01,0.03,0.04,0.01,0.04
Charalambos Lykogiannis,gr,DF,Cagliari,25,1993,20,,0,1,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.5,0.5,1.4,0.03,0.09,0.13,0.03,0.13
Francesco Magnanelli,it,MF,Sassuolo,34,1984,22,,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.03,0.02,0.05,0.03,0.05
Giangiacomo Magnani,it,"DF,MF",Brescia,23,1995,2,,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.10,0.00,0.10,0.10,0.10
Giangiacomo Magnani,it,DF,Sassuolo,23,1995,8,,1,0,0,0,1,0,0.62,0.00,0.62,0.62,0.62,1.0,1.0,0.1,0.63,0.08,0.71,0.63,0.71
Žan Majer,si,MF,Lecce,27,1992,27,,1,1,0,0,7,0,0.05,0.05,0.11,0.05,0.11,2.3,2.3,1.4,0.13,0.07,0.20,0.13,0.20
Nikola Maksimović,rs,DF,Napoli,27,1991,22,,1,1,0,0,3,1,0.05,0.05,0.10,0.05,0.10,0.7,0.7,0.7,0.04,0.03,0.07,0.04,0.07
Kévin Malcuit,ma,DF,Napoli,28,1991,4,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.01,0.09,0.10,0.01,0.10
Daniel Maldini,it,FW,Milan,17,2001,2,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ruslan Malinovskyi,ua,"MF,FW",Atalanta,26,1993,34,,8,3,0,1,7,1,0.47,0.18,0.64,0.47,0.64,4.7,3.9,5.2,0.27,0.30,0.58,0.23,0.53
Gianluca Mancini,it,"DF,MF",Roma,23,1996,32,,1,0,0,0,16,1,0.03,0.00,0.03,0.03,0.03,2.7,2.7,0.6,0.09,0.02,0.11,0.09,0.11
Marco Mancosu,it,"MF,FW",Lecce,30,1988,33,,14,2,9,11,3,0,0.52,0.07,0.59,0.18,0.26,15.2,6.8,3.9,0.56,0.15,0.70,0.25,0.40
