player,nation,position,squad,age,born,matches_played,startsminutes,goals,assists,penalties,penalties_scored,yellow_cards,red_cards,goals_per_90,assists_per_90,goals_and_assists_per_90,goals_minus_pens_per_90,goals_plus_assists_minus_pens_per_90,xG,npxG,xA,xG90,xA90,xG_plus_xA_90,npxG90,npxG_plus_xA90
Stefano Piccinini,it,DF,Sassuolo,16,2002,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.29,0.29,0.00,0.29
Roberto Piccoli,it,FW,Atalanta,18,2001,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,1.87,0.14,2.01,1.87,2.01
Andrea Pinamonti,it,FW,Genoa,20,1999,32,,5,1,1,2,1,0,0.20,0.04,0.24,0.16,0.20,6.7,5.0,0.6,0.27,0.02,0.29,0.20,0.22
Simone Pinna,it,DF,Cagliari,21,1997,1,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.15,0.15,0.00,0.15
Carlo Pinsoglio,it,GK,Juventus,29,1990,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Lorenzo Pirola,it,DF,Inter,17,2002,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Fabio Pisacane,it,DF,Cagliari,33,1986,30,,1,0,0,0,8,1,0.04,0.00,0.04,0.04,0.04,0.7,0.7,0.3,0.03,0.01,0.04,0.03,0.04
Miralem Pjanić,ba,MF,Juventus,29,1990,30,,3,6,0,0,10,0,0.12,0.24,0.36,0.12,0.36,1.0,1.0,3.3,0.04,0.13,0.17,0.04,0.17
Andrea Poli,it,MF,Bologna,29,1989,28,,2,0,0,0,5,0,0.09,0.00,0.09,0.09,0.09,2.0,2.0,1.8,0.09,0.08,0.18,0.09,0.18
Matteo Politano,it,FW,Napoli,25,1993,15,,2,2,0,0,1,0,0.24,0.24,0.48,0.24,0.48,1.9,1.9,1.5,0.23,0.18,0.40,0.23,0.40
Matteo Politano,it,FW,Inter,25,1993,11,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.7,0.30,0.23,0.53,0.30,0.53
Erick Pulgar,cl,MF,Fiorentina,25,1994,37,,7,6,7,8,9,0,0.21,0.18,0.40,0.00,0.18,7.5,1.4,6.7,0.23,0.20,0.43,0.04,0.25
Ignacio Pussetto,ar,"FW,DF",Udinese,23,1995,12,,1,0,0,0,1,0,0.26,0.00,0.26,0.26,0.26,0.7,0.7,0.8,0.19,0.21,0.39,0.19,0.39
