home,homeXg,score,awayXg,away
Sheffield Utd,0.6,1–0,0.4,Wolves
Brighton,2.3,1–3,1.8,Liverpool
Bournemouth,1.1,0–0,0.6,Tottenham
Everton,1.0,1–1,2.3,Southampton
Aston Villa,0.5,0–3,2.7,Manchester Utd
Watford,3.0,2–1,1.4,Newcastle Utd
Norwich City,0.9,0–4,2.8,West Ham
Liverpool,2.1,1–1,0.7,Burnley
Sheffield Utd,1.9,3–0,1.0,Chelsea
Brighton,0.1,0–5,5.1,Manchester City
Wolves,2.5,3–0,0.3,Everton
Aston Villa,1.6,2–0,1.3,Crystal Palace
Tottenham,1.5,2–1,0.8,Arsenal
Bournemouth,1.7,4–1,1.2,Leicester City
Manchester Utd,1.2,2–2,1.6,Southampton
Chelsea,2.2,1–0,0.0,Norwich City
Burnley,1.7,1–1,1.1,Wolves
Manchester City,0.8,2–1,1.7,Bournemouth
Newcastle Utd,1.1,1–3,1.2,Tottenham
Arsenal,1.1,2–1,2.9,Liverpool
Everton,0.6,1–1,1.4,Aston Villa
Leicester City,2.1,2–0,0.2,Sheffield Utd
Southampton,2.0,1–1,0.8,Brighton
Crystal Palace,0.7,0–2,1.8,Manchester Utd
West Ham,0.7,3–1,1.5,Watford
Norwich City,0.3,0–2,1.9,Burnley
Bournemouth,1.1,0–2,2.1,Southampton
Tottenham,0.4,3–0,1.7,Leicester City
Brighton,0.6,0–0,0.8,Newcastle Utd
Sheffield Utd,0.5,0–1,0.3,Everton
Wolves,1.4,2–0,0.4,Crystal Palace
Watford,0.1,0–4,3.5,Manchester City
Aston Villa,0.6,1–0,0.7,Arsenal
Manchester Utd,0.7,1–1,1.8,West Ham
Liverpool,1.2,5–3,2.3,Chelsea
Southampton,2.2,3–1,1.4,Sheffield Utd
Burnley,1.8,1–2,1.1,Brighton
West Ham,0.7,1–1,1.2,Aston Villa
Chelsea,1.3,2–0,0.2,Wolves
Everton,2.2,1–3,1.8,Bournemouth
Crystal Palace,0.8,1–1,0.4,Tottenham
Arsenal,1.7,3–2,3.6,Watford
Manchester City,3.2,5–0,1.1,Norwich City
Newcastle Utd,0.4,1–3,0.6,Liverpool
Leicester City,1.4,0–2,1.9,Manchester Utd
