Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
670,Andrea Tabanelli,it,MF,Lecce,29,1990,13,964,74,28.2,10.7,11,81,2,39,2,1.15,15,17,-2,-0.19,+0.95,13.8,21.0,-7.2,-0.67,+0.95,/en/players/b59e02da/matchlogs/2019-2020/summary/Andrea-Tabanelli-Match-Logs
671,Panagiotis Tachtsidis,gr,MF,Lecce,28,1991,28,"2,003",72,58.6,22.3,24,80,4,22,5,0.61,23,53,-30,-1.35,-1.16,29.3,48.0,-18.7,-0.84,-1.16,/en/players/e26bd2f4/matchlogs/2019-2020/summary/Panagiotis-Tachtsidis-Match-Logs
672,Adrien Tameze,cm,MF,Atalanta,25,1994,7,211,30,6.2,2.3,2,90,5,6,10,2.71,10,3,+7,+2.99,+1.78,7.0,3.0,+4.0,+1.72,+1.78,/en/players/8da74c05/matchlogs/2019-2020/summary/Adrien-Tameze-Match-Logs
673,Łukasz Teodorczyk,pl,FW,Udinese,28,1991,14,222,16,6.5,2.5,1,70,13,12,18,1.07,4,4,0,0.00,+0.39,4.4,4.4,0.0,0.00,+0.39,/en/players/7e81a17d/matchlogs/2019-2020/summary/Lukasz-Teodorczyk-Match-Logs
674,Hidde ter Avest,nl,DF,Udinese,22,1997,20,686,34,20.1,7.6,6,74,14,17,12,1.25,10,18,-8,-1.05,-0.85,9.1,12.3,-3.3,-0.43,-0.85,/en/players/18f9dbd0/matchlogs/2019-2020/summary/Hidde-ter-Avest-Match-Logs
675,Filippo Terracciano,it,MF,Hellas Verona,16,2003,0,,,,,0,,0,,8,,,,,,,,,,,,/en/players/5cbb5ad6/matchlogs/2019-2020/summary/Filippo-Terracciano-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,Pietro Terracciano,it,GK,Fiorentina,29,1990,7,624,89,18.2,6.9,7,89,0,,31,2.29,14,5,+9,+1.30,+1.49,13.1,9.5,+3.6,+0.52,+1.49,/en/players/e1b0a70d/matchlogs/2019-2020/summary/Pietro-Terracciano-Match-Logs
677,Aleksa Terzić,rs,DF,Fiorentina,19,1999,2,8,4,0.2,0.1,0,,2,4,29,3.00,1,0,+1,+11.25,+11.20,0.1,0.0,+0.1,+0.98,+11.20,/en/players/3ef0a2d7/matchlogs/2019-2020/summary/Aleksa-Terzic-Match-Logs
678,Demba Thiam,sn,GK,SPAL,21,1998,2,180,90,5.3,2.0,2,90,0,,36,0.50,2,4,-2,-1.00,+0.33,0.8,4.6,-3.8,-1.89,+0.33,/en/players/0f47717b/matchlogs/2019-2020/summary/Demba-Thiam-Match-Logs
679,Morten Thorsby,no,"MF,DF",Sampdoria,23,1996,24,"1,865",78,54.5,20.7,21,85,3,24,8,1.38,30,35,-5,-0.24,+0.45,27.0,26.6,+0.4,+0.02,+0.45,/en/players/d1b49282/matchlogs/2019-2020/summary/Morten-Thorsby-Match-Logs
680,Jeremy Toljan,de,DF,Sassuolo,24,1994,29,"2,186",75,63.9,24.3,25,83,4,28,3,1.31,36,33,+3,+0.12,-0.10,33.6,40.4,-6.8,-0.28,-0.10,/en/players/a96e5dc0/matchlogs/2019-2020/summary/Jeremy-Toljan-Match-Logs
681,Rafael Tolói,br,DF,Atalanta,28,1990,33,"2,608",79,76.3,29.0,29,88,4,11,2,1.97,67,39,+28,+0.97,-1.47,60.7,30.9,+29.8,+1.03,-1.47,/en/players/c56dc39e/matchlogs/2019-2020/summary/Rafael-Toloi-Match-Logs
682,Takehiro Tomiyasu,jp,DF,Bologna,20,1998,29,"2,528",87,73.9,28.1,29,87,0,,0,1.28,36,45,-9,-0.32,+0.08,40.2,35.9,+4.3,+0.15,+0.08,/en/players/b3af9be1/matchlogs/2019-2020/summary/Takehiro-Tomiyasu-Match-Logs
683,Nenad Tomović,rs,DF,SPAL,31,1987,23,"1,755",76,51.3,19.5,20,86,3,11,13,0.65,13,42,-29,-1.49,-0.35,20.0,36.2,-16.2,-0.83,-0.35,/en/players/6aafdc27/matchlogs/2019-2020/summary/Nenad-Tomovic-Match-Logs
684,Sandro Tonali,it,MF,Brescia,19,2000,35,"3,014",86,88.1,33.5,34,88,1,34,0,0.71,32,61,-29,-0.87,+2.46,37.9,66.5,-28.5,-0.85,+2.46,/en/players/0db169ae/matchlogs/2019-2020/summary/Sandro-Tonali-Match-Logs
685,Lorenzo Tonelli,it,DF,Sampdoria,29,1990,9,702,78,20.5,7.8,9,78,0,,4,0.89,9,17,-8,-1.03,-0.73,10.9,13.2,-2.3,-0.30,-0.73,/en/players/8cc29864/matchlogs/2019-2020/summary/Lorenzo-Tonelli-Match-Logs
686,Lorenzo Tonelli,it,DF,Napoli,29,1990,0,,,,,0,,0,,9,,,,,,,,,,,,/en/players/8cc29864/matchlogs/2019-2020/summary/Lorenzo-Tonelli-Match-Logs
687,Ernesto Torregrossa,it,FW,Brescia,27,1992,25,"1,844",74,53.9,20.5,22,79,3,38,0,0.68,21,46,-25,-1.22,-0.14,25.7,45.0,-19.3,-0.94,-0.14,/en/players/bf39bdec/matchlogs/2019-2020/summary/Ernesto-Torregrossa-Match-Logs
688,Emmanuel Torres,ar,FW,Milan,27,1992,0,,,,,0,,0,,1,,,,,,,,,,,,/en/players/e774f02a/matchlogs/2019-2020/summary/Emmanuel-Torres-Match-Logs
689,Abdoullaye Traoré,bf,MF,Hellas Verona,19,2000,0,,,,,0,,0,,2,,,,,,,,,,,,/en/players/f8b19c58/matchlogs/2019-2020/summary/Abdoullaye-Traore-Match-Logs
690,Amad Traoré,ci,FW,Atalanta,17,2002,3,27,9,0.8,0.3,0,,3,9,3,2.00,1,1,0,0.00,-1.33,0.4,0.5,-0.1,-0.28,-1.33,/en/players/9dc96f10/matchlogs/2019-2020/summary/Amad-Traore-Match-Logs
691,Luca Tremolada,it,MF,Brescia,27,1991,1,15,15,0.4,0.2,0,,1,15,3,0.00,0,0,0,0.00,+1.16,0.1,1.0,-0.9,-5.45,+1.16,/en/players/ed65da8c/matchlogs/2019-2020/summary/Luca-Tremolada-Match-Logs
692,Alessandro Tripaldelli,it,DF,Sassuolo,20,1999,2,135,68,3.9,1.5,1,90,1,45,14,0.00,4,4,0,0.00,-0.16,1.5,3.4,-1.9,-1.26,-0.16,/en/players/4571fa88/matchlogs/2019-2020/summary/Alessandro-Tripaldelli-Match-Logs
693,William Troost-Ekong,ng,DF,Udinese,25,1993,30,"2,576",86,75.3,28.6,29,89,1,2,6,1.17,29,43,-14,-0.49,-0.49,31.8,41.2,-9.4,-0.33,-0.49,/en/players/7ed4921e/matchlogs/2019-2020/summary/William-Troost-Ekong-Match-Logs
694,Georgi Tunjov,ee,MF,SPAL,18,2001,10,284,28,8.3,3.2,3,72,7,10,15,0.30,1,10,-9,-2.85,-1.68,2.6,8.8,-6.2,-1.97,-1.68,/en/players/7aa84ac5/matchlogs/2019-2020/summary/Georgi-Tunjov-Match-Logs
695,Ľubomír Tupta,sk,"FW,MF",Hellas Verona,21,1998,0,,,,,0,,0,,3,,,,,,,,,,,,/en/players/b02af64f/matchlogs/2019-2020/summary/Lubomir-Tupta-Match-Logs
696,Stefano Turati,it,GK,Sassuolo,,,2,180,90,5.3,2.0,2,90,0,,17,1.00,4,4,0,0.00,-0.17,2.4,5.0,-2.6,-1.30,-0.17,/en/players/bf168004/matchlogs/2019-2020/summary/Stefano-Turati-Match-Logs
697,Gennaro Tutino,it,FW,Hellas Verona,22,1996,6,225,38,6.6,2.5,2,72,4,20,9,0.67,1,3,-2,-0.80,-0.74,2.4,5.0,-2.6,-1.06,-0.74,/en/players/8b303bcb/matchlogs/2019-2020/summary/Gennaro-Tutino-Match-Logs
698,Samir Ujkani,xk,GK,Torino,31,1988,1,90,90,2.6,1.0,1,90,0,,34,0.00,2,3,-1,-1.00,-0.43,0.9,2.6,-1.7,-1.67,-0.43,/en/players/96640846/matchlogs/2019-2020/summary/Samir-Ujkani-Match-Logs
699,Cengiz Ünder,tr,FW,Roma,22,1997,18,873,49,25.5,9.7,10,70,8,22,11,1.67,20,18,+2,+0.21,-0.64,20.3,12.6,+7.7,+0.79,-0.64,/en/players/1880614f/matchlogs/2019-2020/summary/Cengiz-Under-Match-Logs
700,Mirko Valdifiori,it,MF,SPAL,33,1986,22,"1,400",64,40.9,15.6,15,83,7,22,14,0.68,10,30,-20,-1.29,+0.05,15.2,25.4,-10.2,-0.66,+0.05,/en/players/c710f7d5/matchlogs/2019-2020/summary/Mirko-Valdifiori-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,Borja Valero,es,MF,Inter,34,1985,19,931,49,27.2,10.3,9,87,10,15,18,2.11,25,8,+17,+1.64,+0.63,20.9,10.4,+10.5,+1.02,+0.63,/en/players/0e21fc3c/matchlogs/2019-2020/summary/Borja-Valero-Match-Logs
702,Mattia Valoti,it,"MF,FW",SPAL,25,1993,27,"1,527",57,44.6,17.0,18,73,9,23,4,0.56,15,28,-13,-0.77,+0.99,18.4,31.7,-13.2,-0.78,+0.99,/en/players/c414df9d/matchlogs/2019-2020/summary/Mattia-Valoti-Match-Logs
703,Denis Vavro,sk,DF,Lazio,23,1996,11,328,30,9.6,3.6,1,90,10,24,23,1.64,6,8,-2,-0.55,-1.68,6.8,6.8,+0.1,+0.02,-1.68,/en/players/08990838/matchlogs/2019-2020/summary/Denis-Vavro-Match-Logs
704,Matías Vecino,uy,MF,Inter,27,1991,20,"1,282",64,37.5,14.2,14,83,6,20,3,2.10,30,13,+17,+1.19,+0.01,22.9,15.9,+7.0,+0.49,+0.01,/en/players/44ac04e9/matchlogs/2019-2020/summary/Matias-Vecino-Match-Logs
