Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
67,Mehdi Bourabia,ma,MF,Sassuolo,26,1991,22.3,48,2.15,41,3,1,3,0,2,0.09,41,3,1,3,0,0,/en/players/0d077b88/matchlogs/2018-2019/gca/Mehdi-Bourabia-Match-Logs
68,Filip Bradarić,hr,MF,Cagliari,26,1992,16.6,22,1.33,19,1,0,2,0,1,0.06,19,1,0,2,0,0,/en/players/605873e1/matchlogs/2018-2019/gca/Filip-Bradaric-Match-Logs
69,Gleison Bremer,br,DF,Torino,21,1997,2.0,1,0.49,1,0,0,0,0,0,0.00,1,0,0,0,0,0,/en/players/5fd5ed86/matchlogs/2018-2019/gca/Gleison-Bremer-Match-Logs
70,Nicolò Brighenti,it,DF,Frosinone,28,1989,11.0,11,1.00,8,2,1,0,0,0,0.00,8,2,1,0,0,0,/en/players/54c356b0/matchlogs/2018-2019/gca/Nicolo-Brighenti-Match-Logs
71,Matteo Brighi,it,MF,Empoli,37,1981,2.6,4,1.56,3,0,0,0,1,0,0.00,3,0,0,0,1,0,/en/players/d417b306/matchlogs/2018-2019/gca/Matteo-Brighi-Match-Logs
72,Enrico Brignola,it,FW,Sassuolo,19,1999,1.9,4,2.06,3,1,0,0,0,2,1.03,3,1,0,0,0,0,/en/players/d0643f8f/matchlogs/2018-2019/gca/Enrico-Brignola-Match-Logs
73,Marcelo Brozović,hr,MF,Inter,25,1992,29.4,116,3.94,93,17,3,2,1,4,0.14,93,17,3,2,1,0,/en/players/33b8d077/matchlogs/2018-2019/gca/Marcelo-Brozovic-Match-Logs
74,Rafael Cabral,br,GK,Sampdoria,28,1990,2.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,/en/players/806f7a26/matchlogs/2018-2019/gca/Rafael-Cabral-Match-Logs
75,Fabrizio Cacciatore,it,DF,Cagliari,31,1986,6.4,8,1.24,8,0,0,0,0,2,0.31,8,0,0,0,0,0,/en/players/00b0bb87/matchlogs/2018-2019/gca/Fabrizio-Cacciatore-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,
76,Fabrizio Cacciatore,it,DF,Chievo,31,1986,5.5,16,2.90,12,1,1,0,2,1,0.18,12,1,1,0,2,0,/en/players/00b0bb87/matchlogs/2018-2019/gca/Fabrizio-Cacciatore-Match-Logs
77,Martín Cáceres,uy,DF,Juventus,31,1987,7.0,2,0.29,2,0,0,0,0,0,0.00,2,0,0,0,0,0,/en/players/e94d79e3/matchlogs/2018-2019/gca/Martin-Caceres-Match-Logs
78,Martín Cáceres,uy,"DF,FW",Lazio,31,1987,3.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,/en/players/e94d79e3/matchlogs/2018-2019/gca/Martin-Caceres-Match-Logs
79,Felipe Caicedo,ec,FW,Lazio,29,1988,15.2,38,2.49,28,0,6,1,3,7,0.46,28,0,6,1,3,0,/en/players/93b891d1/matchlogs/2018-2019/gca/Felipe-Caicedo-Match-Logs
80,Arturo Calabresi,it,DF,Bologna,22,1996,15.7,18,1.15,18,0,0,0,0,2,0.13,18,0,0,0,0,0,/en/players/34bb6fbd/matchlogs/2018-2019/gca/Arturo-Calabresi-Match-Logs
81,Davide Calabria,it,DF,Milan,21,1996,21.7,43,1.98,37,1,3,1,1,5,0.23,37,1,3,1,1,0,/en/players/2146785a/matchlogs/2018-2019/gca/Davide-Calabria-Match-Logs
82,Hakan Çalhanoğlu,tr,"FW,MF",Milan,24,1994,32.0,149,4.65,107,22,7,8,5,12,0.37,107,22,7,8,5,0,/en/players/cd0fa27b/matchlogs/2018-2019/gca/Hakan-Calhanoglu-Match-Logs
83,José Callejón,es,"MF,FW",Napoli,31,1987,29.4,123,4.18,101,12,2,6,2,19,0.65,101,12,2,6,2,0,/en/players/78841da9/matchlogs/2018-2019/gca/Jose-Callejon-Match-Logs
84,Joel Campbell,cr,"FW,MF",Frosinone,26,1992,9.9,26,2.63,18,2,2,1,3,4,0.40,18,2,2,1,3,0,/en/players/895ff3ca/matchlogs/2018-2019/gca/Joel-Campbell-Match-Logs
85,Emre Can,de,MF,Juventus,24,1994,20.1,36,1.79,28,1,3,1,3,2,0.10,28,1,3,1,3,0,/en/players/a65ce836/matchlogs/2018-2019/gca/Emre-Can-Match-Logs
