Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
55,Jonathan Biabiany,fr,"FW,MF",Parma,30,1988,18,12,"1,069",0,0,0,0,4,0,0,0,0.00,0.00,0.00,0.4,0.4,0.8,0.4,0.8,0.11,0.4,0.11,/en/players/6b99d135/matchlogs/2018-2019/summary/Jonathan-Biabiany-Match-Logs
56,Lucas Biglia,ar,MF,Milan,32,1986,16,13,"1,114",1,0,0,0,3,0,1,0,0.08,0.08,0.08,0.3,0.3,0.6,0.3,0.6,0.07,0.3,0.07,/en/players/5710a281/matchlogs/2018-2019/summary/Lucas-Biglia-Match-Logs
57,Cristiano Biraghi,it,DF,Fiorentina,25,1992,36,36,"3,194",1,4,0,0,8,0,1,4,0.14,0.03,0.14,1.6,1.6,5.2,1.6,5.2,0.19,1.6,0.19,/en/players/9e1577aa/matchlogs/2018-2019/summary/Cristiano-Biraghi-Match-Logs
58,Davide Biraschi,it,DF,Genoa,24,1994,34,32,"2,841",0,0,0,0,3,1,0,0,0.00,0.00,0.00,0.3,0.3,0.6,0.3,0.6,0.03,0.3,0.03,/en/players/64cd167d/matchlogs/2018-2019/summary/Davide-Biraschi-Match-Logs
59,Valter Birsa,si,"MF,FW",Chievo,31,1986,17,12,"1,101",2,2,1,1,1,0,2,2,0.33,0.08,0.25,1.7,0.9,2.8,1.7,2.8,0.37,0.9,0.31,/en/players/455a2b79/matchlogs/2018-2019/summary/Valter-Birsa-Match-Logs
60,Valter Birsa,si,"MF,FW",Cagliari,31,1986,12,4,353,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.5,0.5,0.8,0.5,0.8,0.33,0.5,0.33,/en/players/455a2b79/matchlogs/2018-2019/summary/Valter-Birsa-Match-Logs
61,Kevin-Prince Boateng,gh,FW,Sassuolo,31,1987,13,11,938,4,1,2,2,1,0,4,1,0.48,0.19,0.29,3.7,2.2,0.9,3.7,0.9,0.44,2.2,0.29,/en/players/f4ec4fd0/matchlogs/2018-2019/summary/Kevin-Prince-Boateng-Match-Logs
62,Jeremie Boga,ci,"FW,MF",Sassuolo,21,1997,25,14,"1,443",3,1,0,0,0,0,3,1,0.25,0.19,0.25,3.3,3.3,1.4,3.3,1.4,0.30,3.3,0.30,/en/players/fe012aca/matchlogs/2018-2019/summary/Jeremie-Boga-Match-Logs
63,Giacomo Bonaventura,it,MF,Milan,28,1989,8,8,646,3,1,0,0,0,0,3,1,0.56,0.42,0.56,2.5,2.5,0.8,2.5,0.8,0.46,2.5,0.46,/en/players/d995ed27/matchlogs/2018-2019/summary/Giacomo-Bonaventura-Match-Logs
64,Kevin Bonifazi,it,DF,SPAL,22,1996,27,26,"2,301",2,1,0,0,2,0,2,1,0.12,0.08,0.12,0.7,0.7,0.3,0.7,0.3,0.04,0.7,0.04,/en/players/fb77bfef/matchlogs/2018-2019/summary/Kevin-Bonifazi-Match-Logs
65,Leonardo Bonucci,it,DF,Juventus,31,1987,29,27,"2,472",3,0,0,0,2,0,3,0,0.11,0.11,0.11,1.7,1.7,0.8,1.7,0.8,0.09,1.7,0.09,/en/players/52ec54d0/matchlogs/2018-2019/summary/Leonardo-Bonucci-Match-Logs
66,Fabio Borini,it,"FW,MF",Milan,27,1991,20,10,"1,054",2,2,0,0,3,0,2,2,0.34,0.17,0.34,2.5,2.5,0.5,2.5,0.5,0.25,2.5,0.25,/en/players/ef5b337e/matchlogs/2018-2019/summary/Fabio-Borini-Match-Logs
67,Mehdi Bourabia,ma,MF,Sassuolo,26,1991,32,21,"2,010",1,0,0,0,8,1,1,0,0.04,0.04,0.04,2.0,2.0,1.8,2.0,1.8,0.17,2.0,0.17,/en/players/0d077b88/matchlogs/2018-2019/summary/Mehdi-Bourabia-Match-Logs
68,Filip Bradarić,hr,MF,Cagliari,26,1992,27,17,"1,494",0,2,0,0,5,0,0,2,0.12,0.00,0.12,0.4,0.4,0.8,0.4,0.8,0.07,0.4,0.07,/en/players/605873e1/matchlogs/2018-2019/summary/Filip-Bradaric-Match-Logs
69,Gleison Bremer,br,DF,Torino,21,1997,5,2,183,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,/en/players/5fd5ed86/matchlogs/2018-2019/summary/Gleison-Bremer-Match-Logs
70,Nicolò Brighenti,it,DF,Frosinone,28,1989,11,11,990,0,0,0,0,4,0,0,0,0.00,0.00,0.00,0.3,0.3,0.3,0.3,0.3,0.05,0.3,0.05,/en/players/54c356b0/matchlogs/2018-2019/summary/Nicolo-Brighenti-Match-Logs
71,Matteo Brighi,it,MF,Empoli,37,1981,10,1,231,1,0,0,0,1,0,1,0,0.39,0.39,0.39,0.6,0.6,0.1,0.6,0.1,0.30,0.6,0.30,/en/players/d417b306/matchlogs/2018-2019/summary/Matteo-Brighi-Match-Logs
72,Enrico Brignola,it,FW,Sassuolo,19,1999,7,2,175,1,0,0,0,2,0,1,0,0.51,0.51,0.51,0.4,0.4,0.1,0.4,0.1,0.24,0.4,0.24,/en/players/d0643f8f/matchlogs/2018-2019/summary/Enrico-Brignola-Match-Logs
73,Marcelo Brozović,hr,MF,Inter,25,1992,32,31,"2,650",2,1,0,0,11,1,2,1,0.10,0.07,0.10,1.0,1.0,3.1,1.0,3.1,0.14,1.0,0.14,/en/players/33b8d077/matchlogs/2018-2019/summary/Marcelo-Brozovic-Match-Logs
74,Rafael Cabral,br,GK,Sampdoria,28,1990,2,2,180,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00,/en/players/806f7a26/matchlogs/2018-2019/summary/Rafael-Cabral-Match-Logs
75,Fabrizio Cacciatore,it,DF,Cagliari,31,1986,7,7,580,0,2,0,0,2,0,0,2,0.31,0.00,0.31,0.1,0.1,0.6,0.1,0.6,0.11,0.1,0.11,/en/players/00b0bb87/matchlogs/2018-2019/summary/Fabrizio-Cacciatore-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Fabrizio Cacciatore,it,DF,Chievo,31,1986,7,5,497,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.0,0.0,0.9,0.0,0.9,0.17,0.0,0.17,/en/players/00b0bb87/matchlogs/2018-2019/summary/Fabrizio-Cacciatore-Match-Logs
