Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
62,Jeremie Boga,ci,"FW,MF",Sassuolo,21,1997,16.0,12,10,6,5,1,12,12,33.3,8,303,88,29.0,6,5,1,16,1,0,15,5,17,2,0,/en/players/fe012aca/matchlogs/2018-2019/defense/Jeremie-Boga-Match-Logs
63,Giacomo Bonaventura,it,MF,Milan,28,1989,7.2,3,2,1,2,0,3,11,18.2,9,100,23,23.0,1,2,0,5,0,0,5,7,10,5,1,/en/players/d995ed27/matchlogs/2018-2019/defense/Giacomo-Bonaventura-Match-Logs
64,Kevin Bonifazi,it,DF,SPAL,22,1996,25.6,48,29,38,9,1,48,45,42.2,26,330,100,30.3,38,9,1,54,23,0,31,37,85,95,1,/en/players/fb77bfef/matchlogs/2018-2019/defense/Kevin-Bonifazi-Match-Logs
65,Leonardo Bonucci,it,DF,Juventus,31,1987,27.5,20,12,13,6,1,20,14,64.3,5,148,52,35.1,13,6,1,38,18,0,20,38,58,103,0,/en/players/52ec54d0/matchlogs/2018-2019/defense/Leonardo-Bonucci-Match-Logs
66,Fabio Borini,it,"FW,MF",Milan,27,1991,11.7,16,11,5,9,2,16,19,36.8,12,251,58,23.1,5,9,2,29,1,0,28,12,28,29,0,/en/players/ef5b337e/matchlogs/2018-2019/defense/Fabio-Borini-Match-Logs
67,Mehdi Bourabia,ma,MF,Sassuolo,26,1991,22.3,57,37,18,31,8,57,51,37.3,32,520,143,27.5,18,31,8,30,4,0,26,33,90,37,0,/en/players/0d077b88/matchlogs/2018-2019/defense/Mehdi-Bourabia-Match-Logs
68,Filip Bradarić,hr,MF,Cagliari,26,1992,16.6,33,24,15,17,1,33,28,32.1,19,240,57,23.8,15,17,1,32,5,0,27,35,68,51,0,/en/players/605873e1/matchlogs/2018-2019/defense/Filip-Bradaric-Match-Logs
69,Gleison Bremer,br,DF,Torino,21,1997,2.0,5,3,2,3,0,5,2,50.0,1,26,6,23.1,2,3,0,5,1,0,4,8,13,9,0,/en/players/5fd5ed86/matchlogs/2018-2019/defense/Gleison-Bremer-Match-Logs
70,Nicolò Brighenti,it,DF,Frosinone,28,1989,11.0,27,17,14,10,3,27,20,50.0,10,137,48,35.0,14,10,3,18,8,0,10,31,58,43,1,/en/players/54c356b0/matchlogs/2018-2019/defense/Nicolo-Brighenti-Match-Logs
71,Matteo Brighi,it,MF,Empoli,37,1981,2.6,10,6,3,7,0,10,8,12.5,7,91,27,29.7,3,7,0,6,0,0,6,3,13,3,0,/en/players/d417b306/matchlogs/2018-2019/defense/Matteo-Brighi-Match-Logs
72,Enrico Brignola,it,FW,Sassuolo,19,1999,1.9,3,1,3,0,0,3,2,0.0,2,51,11,21.6,3,0,0,2,0,0,2,2,5,2,0,/en/players/d0643f8f/matchlogs/2018-2019/defense/Enrico-Brignola-Match-Logs
73,Marcelo Brozović,hr,MF,Inter,25,1992,29.4,116,78,49,51,16,116,109,33.0,73,675,207,30.7,49,51,16,52,7,0,45,45,161,31,1,/en/players/33b8d077/matchlogs/2018-2019/defense/Marcelo-Brozovic-Match-Logs
74,Rafael Cabral,br,GK,Sampdoria,28,1990,2.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,/en/players/806f7a26/matchlogs/2018-2019/defense/Rafael-Cabral-Match-Logs
75,Fabrizio Cacciatore,it,DF,Cagliari,31,1986,6.4,12,8,7,3,2,12,5,20.0,4,85,24,28.2,7,3,2,10,3,0,7,7,19,17,0,/en/players/00b0bb87/matchlogs/2018-2019/defense/Fabrizio-Cacciatore-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Fabrizio Cacciatore,it,DF,Chievo,31,1986,5.5,8,7,6,1,1,8,10,40.0,6,60,17,28.3,6,1,1,14,3,0,11,5,13,11,0,/en/players/00b0bb87/matchlogs/2018-2019/defense/Fabrizio-Cacciatore-Match-Logs
77,Martín Cáceres,uy,DF,Juventus,31,1987,7.0,11,7,9,1,1,11,9,66.7,3,50,21,42.0,9,1,1,9,3,0,6,4,15,17,0,/en/players/e94d79e3/matchlogs/2018-2019/defense/Martin-Caceres-Match-Logs
78,Martín Cáceres,uy,"DF,FW",Lazio,31,1987,3.4,3,2,3,0,0,3,4,25.0,3,25,5,20.0,3,0,0,7,0,0,7,1,4,9,1,/en/players/e94d79e3/matchlogs/2018-2019/defense/Martin-Caceres-Match-Logs
